Bairro,Area,Valor,Dormitorios,Vagas
Aberta_dos_Morros,48.89,128000,2,1
Aberta_dos_Morros,39,120000,2,1
Aberta_dos_Morros,39.03,115000,2,0
Aberta_dos_Morros,48.92,205000,2,1
Aberta_dos_Morros,48.92,230000,2,1
Aberta_dos_Morros,39,120000,2,1
Aberta_dos_Morros,43,110000,2,1
Aberta_dos_Morros,39.03,130000,2,1
Aberta_dos_Morros,48,130000,2,1
Aberta_dos_Morros,46.64,260000,2,1
Aberta_dos_Morros,45.88,248000,2,1
Aberta_dos_Morros,47,240000,2,0
Aberta_dos_Morros,39.03,99000,2,1
Aberta_dos_Morros,39.03,133000,2,1
Aberta_dos_Morros,50,172500,2,1
Aberta_dos_Morros,56,254000,2,0
Aberta_dos_Morros,48.89,120000,2,1
Aberta_dos_Morros,39.03,120000,2,1
Aberta_dos_Morros,39,140000,2,1
Aberta_dos_Morros,55.93,235000,2,1
Aberta_dos_Morros,39,128000,2,1
Agronomia,45.59,215000,2,1
Agronomia,64,371000,2,2
Agronomia,58.86,250000,2,1
Agronomia,72,180000,1,1
Agronomia,89.54,178000,2,1
Agronomia,46,150000,2,2
Agronomia,64,329000,2,1
Agronomia,62.81,330000,2,1
Agronomia,55.55,274400,2,1
Agronomia,71.22,307000,3,1
Agronomia,67.5,421000,2,1
Agronomia,80,424000,3,1
Agronomia,59.45,176000,2,0
Agronomia,50,185000,2,1
Agronomia,200.36,660000,3,3
Agronomia,80,375000,3,0
Agronomia,80,450000,3,2
Agronomia,80,430000,2,2
Agronomia,43.28,145000,1,0
Agronomia,47.54,149000,1,1
Agronomia,80,395000,2,2
Agronomia,59.45,175000,2,0
Agronomia,62.81,340000,2,1
Alto_Petropolis,68,308000,3,1
Alto_Petropolis,59.59,175000,2,1
Alto_Petropolis,67.37,3e+05,3,1
Alto_Petropolis,40.8,150000,1,0
Alto_Petropolis,57.72,212000,2,0
Alto_Petropolis,43.35,205000,2,1
Alto_Petropolis,48.77,2e+05,2,1
Alto_Petropolis,78.72,405000,3,1
Alto_Petropolis,43.36,215000,2,1
Alto_Petropolis,43,165000,2,1
Alto_Petropolis,41.06,110000,2,1
Alto_Petropolis,42.16,150000,1,1
Alto_Petropolis,67.37,3e+05,3,1
Alto_Petropolis,67.37,310000,3,1
Alto_Petropolis,57.9,262000,2,1
Alto_Petropolis,68.09,320000,3,1
Alto_Petropolis,29.54,120000,1,0
Alto_Petropolis,72.4,375000,3,1
Alto_Petropolis,61.65,213000,3,0
Alto_Petropolis,43.36,180000,2,1
Alto_Teresopolis,48.84,170000,2,1
Alto_Teresopolis,69.71,186000,3,0
Alto_Teresopolis,69.71,223000,3,0
Alto_Teresopolis,69.71,202000,3,0
Alto_Teresopolis,39.2,150000,1,1
Alto_Teresopolis,48,170000,2,1
Alto_Teresopolis,48,180000,2,1
Alto_Teresopolis,81.55,260000,4,0
Auxiliadora,85,430000,2,1
Auxiliadora,270.97,1300000,3,2
Auxiliadora,117,740000,3,1
Auxiliadora,136.42,1400000,3,3
Auxiliadora,97,810000,3,2
Auxiliadora,100,1385000,2,2
Auxiliadora,182,1100000,3,3
Auxiliadora,99.19,515000,1,1
Auxiliadora,42.18,250000,1,1
Auxiliadora,70,402800,2,1
Auxiliadora,82,478000,2,1
Auxiliadora,73,480000,2,2
Auxiliadora,150,950000,3,2
Auxiliadora,46.6,4e+05,1,1
Auxiliadora,127,1250000,3,2
Auxiliadora,68,575000,2,2
Auxiliadora,86,550000,2,1
Auxiliadora,38.44,205000,1,0
Auxiliadora,67.4,320000,2,0
Auxiliadora,94.16,990000,2,2
Auxiliadora,74.1,260000,2,0
Auxiliadora,102.58,799000,3,1
Auxiliadora,110,840000,3,1
Auxiliadora,110,840000,3,1
Auxiliadora,110,935000,3,1
Auxiliadora,78,410000,2,1
Auxiliadora,59,250000,2,0
Auxiliadora,70.49,350000,2,0
Auxiliadora,136,1470000,3,3
Auxiliadora,47,395000,1,1
Auxiliadora,96.32,425000,3,1
Auxiliadora,68,580000,2,2
Auxiliadora,68,8e+05,2,2
Auxiliadora,68,550000,2,2
Auxiliadora,68,575000,2,2
Auxiliadora,114.21,590000,3,1
Auxiliadora,102.16,480000,3,3
Auxiliadora,79.21,555000,2,2
Auxiliadora,103,740000,3,2
Auxiliadora,111.23,590000,3,1
Auxiliadora,84.96,390000,2,0
Auxiliadora,44.51,460000,2,1
Auxiliadora,124.29,599000,3,2
Auxiliadora,49,260000,1,0
Auxiliadora,96.52,350000,3,0
Auxiliadora,57,485000,1,1
Auxiliadora,92,520000,3,2
Auxiliadora,89,330000,2,0
Auxiliadora,52.93,450000,1,2
Auxiliadora,68.39,277000,3,0
Auxiliadora,143.4,750000,3,2
Auxiliadora,82.27,7e+05,2,2
Auxiliadora,55,235000,2,0
Auxiliadora,156.22,650000,3,2
Auxiliadora,243.39,980000,3,2
Auxiliadora,69.93,450000,2,1
Auxiliadora,245.49,1400000,3,2
Auxiliadora,38.1,225000,1,0
Auxiliadora,75,339000,2,1
Auxiliadora,110.49,750000,3,2
Auxiliadora,38.44,198000,1,0
Auxiliadora,65,430000,2,1
Auxiliadora,103.15,1050000,3,2
Auxiliadora,82.45,385000,2,0
Auxiliadora,108,515000,3,1
Auxiliadora,90.7,310000,3,0
Auxiliadora,105,550000,3,1
Auxiliadora,64,450000,2,1
Auxiliadora,96.87,660000,1,2
Auxiliadora,59.7,490000,1,2
Auxiliadora,152,970000,3,2
Auxiliadora,76,560000,2,1
Auxiliadora,42.18,250000,1,1
Auxiliadora,75.49,320000,3,0
Auxiliadora,71.64,4e+05,2,0
Auxiliadora,70.57,318000,2,2
Auxiliadora,75.5,250000,2,0
Auxiliadora,98,450000,4,0
Auxiliadora,70,568000,2,2
Auxiliadora,70,584000,2,2
Auxiliadora,70,553000,2,2
Auxiliadora,129,554000,3,2
Auxiliadora,97,4e+05,3,1
Auxiliadora,102.65,930000,2,2
Auxiliadora,79.53,330000,2,0
Auxiliadora,150.37,1170000,3,3
Auxiliadora,99.86,650000,3,1
Auxiliadora,91.25,8e+05,1,0
Auxiliadora,47,280000,2,0
Auxiliadora,91.88,760000,3,2
Auxiliadora,39,295000,1,0
Auxiliadora,75.91,405000,2,0
Auxiliadora,95,365000,3,0
Auxiliadora,84.4,360000,2,0
Auxiliadora,102.65,980000,2,0
Auxiliadora,126.52,899000,3,2
Auxiliadora,119.84,750000,2,1
Auxiliadora,53.7,240000,2,0
Auxiliadora,87.31,350000,3,2
Auxiliadora,157.9,780000,3,2
Auxiliadora,103,1165000,2,2
Auxiliadora,193,1022000,3,2
Auxiliadora,170,1365000,3,4
Auxiliadora,110,840000,3,2
Auxiliadora,86,240000,2,0
Auxiliadora,102.44,809000,3,2
Auxiliadora,144.03,980000,3,2
Auxiliadora,70.63,555000,2,2
Auxiliadora,93.16,695003,2,2
Auxiliadora,53.81,266000,2,0
Auxiliadora,84,450000,3,0
Auxiliadora,165,1060000,3,3
Auxiliadora,59,339000,2,1
Auxiliadora,70.63,479000,3,1
Auxiliadora,46.33,255000,1,0
Auxiliadora,97,435000,3,1
Azenha,103.09,277000,3,0
Azenha,60.47,420000,2,1
Azenha,65,410000,3,1
Azenha,66,250000,2,0
Azenha,91.05,480000,3,0
Azenha,98,287000,3,0
